scenario,region,period,technology,emission type,electricity production [EJ/yr],specific emissions [gCO2eq/kWh]
ADV_WP5_P240_FullTech,AFR,2005,Coal|w/o CCS,direct fossil CO2 (non-CCS),0.02162,1260.9990749306198
ADV_WP5_P240_FullTech,AFR,2005,Gas|w/o CCS,direct fossil CO2 (non-CCS),0.06265,568.5873902633679
ADV_WP5_P240_FullTech,CHN,2005,Coal|w/o CCS,direct fossil CO2 (non-CCS),7.182,1071.6791979949874
ADV_WP5_P240_FullTech,CHN,2005,Gas|w/o CCS,direct fossil CO2 (non-CCS),0.0945,434.6666666666667
ADV_WP5_P240_FullTech,EUR,2005,Coal|w/o CCS,direct fossil CO2 (non-CCS),3.7,823.8162162162163
ADV_WP5_P240_FullTech,EUR,2005,Gas|w/o CCS,direct fossil CO2 (non-CCS),2.883,336.64932362122795
ADV_WP5_P240_FullTech,IND,2005,Coal|w/o CCS,direct fossil CO2 (non-CCS),1.753,1297.683970336566
ADV_WP5_P240_FullTech,IND,2005,Gas|w/o CCS,direct fossil CO2 (non-CCS),0.2281,481.84129767645777
ADV_WP5_P240_FullTech,JPN,2005,Coal|w/o CCS,direct fossil CO2 (non-CCS),0.9849,819.4943649101432
ADV_WP5_P240_FullTech,JPN,2005,Gas|w/o CCS,direct fossil CO2 (non-CCS),0.8441,446.5347707617581
ADV_WP5_P240_FullTech,LAM,2005,Coal|w/o CCS,direct fossil CO2 (non-CCS),0.2097,939.7424892703863
ADV_WP5_P240_FullTech,LAM,2005,Gas|w/o CCS,direct fossil CO2 (non-CCS),0.7805,508.75080076873803
ADV_WP5_P240_FullTech,MEA,2005,Coal|w/o CCS,direct fossil CO2 (non-CCS),0.3928,1150.2036659877801
ADV_WP5_P240_FullTech,MEA,2005,Gas|w/o CCS,direct fossil CO2 (non-CCS),2.158,618.7395736793328
ADV_WP5_P240_FullTech,OAS,2005,Coal|w/o CCS,direct fossil CO2 (non-CCS),1.427,977.8276103714087
ADV_WP5_P240_FullTech,OAS,2005,Gas|w/o CCS,direct fossil CO2 (non-CCS),1.51,457.271523178808
ADV_WP5_P240_FullTech,ROW,2005,Coal|w/o CCS,direct fossil CO2 (non-CCS),2.455,950.9572301425662
ADV_WP5_P240_FullTech,ROW,2005,Gas|w/o CCS,direct fossil CO2 (non-CCS),0.8195,415.5704697986577
